Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A
01/01/26,Alpha FC,Beta United,H,2.00,3.40,3.80
02/01/26,Gamma City,Delta Rovers,D,2.50,3.20,2.90
03/01/26,Echo Town,Foxtrot Athletic,A,3.10,3.30,2.30
04/01/26,Nova XI,Orion Club,H,1.80,3.60,4.50
05/01/26,Beta United,Gamma City,A,2.70,3.25,2.60
06/01/26,Delta Rovers,Echo Town,D,2.20,3.30,3.30
07/01/26,Foxtrot Athletic,Nova XI,H,2.15,3.40,3.40
08/01/26,Orion Club,Alpha FC,A,3.50,3.40,2.10
09/01/26,Alpha FC,Gamma City,H,1.90,3.50,4.00
10/01/26,Beta United,Delta Rovers,D,2.40,3.25,3.00
